Parameter_name	NWIS_parameter_code	CASRN	Analyzing_laboratory	Common_primary_use_group	Method	Method_of_quantitation	Detection_limit	Reporting_limit	Units_of_measurement	Method_citation
Thiabendazole	67161	148-79-8	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Clomazone	67562	81777-89-1	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Cyprodinil	67574	121552-61-2	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Etofenprox	67604	80844-07-1	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Fenbuconazole	67618	114369-43-6	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Fluazinam	67636	79622-59-6	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Fluoxastrobin	67645	193740-76-0	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Flutriafol	67653	76674-21-0	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Imazalil	67662	35554-44-0	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Kresoxim-methyl	67670	143390-89-0	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Prometon	67702	1610-18-0	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Pyrimethanil	67717	53112-28-0	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Tefluthrin	67731	79538-32-2	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Triflumizole	67753	68694-11-1	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Triticonazole	67758	131983-72-7	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Vinclozolin	67763	50471-44-8	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Chlorpyrifos oxon	68216	5598-15-2	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Clothianidin	68221	210880-92-5	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Diazoxon	68236	962-58-3	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Malaoxon	68240	1634-78-2	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Thiamethoxam	68245	153719-23-4	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Acetamiprid	68302	135410-20-7	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Cyhalothrin (all isomers)	68354	68085-85-8	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Cyhalofop-butyl	68360	122008-85-9	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Dimethomorph	68373	110488-70-5	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Imidacloprid	68426	138261-41-3	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Metalaxyl	68437	57837-19-1	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Thiacloprid	68485	111988-49-9	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Carbendazim	68548	10605-21-7	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Etoxazole	68598	153233-91-1	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Methoxyfenozide	68647	161050-58-4	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Propargite	68677	2312-35-8	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Pyridaben	68682	96489-71-3	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Pyriproxyfen	68683	95737-68-1	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Tebufenozide	68692	112410-23-8	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Tebupirimfos	68693	96182-53-5	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Tebupirimfos oxon	68694	1035330-36-9	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Tribufos	68711	78-48-8	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Coumaphos	51836	56-72-4	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Flumetralin	51841	62924-70-3	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Oxadiazon	51843	19666-30-9	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Paclobutrazol	51846	76738-62-0	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Ethaboxam	51855	162650-77-3	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Imidacloprid desnitro	51857	115970-17-7	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Flonicamid	51858	158062-67-0	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Cymoxanil	51861	57966-95-7	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Cyantraniliprole	51862	736994-63-1	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Penoxsulam	51863	219714-96-2	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
"2-[(2-chloro-1,3-thiazol-5-yl)methyl]-1-nitroguanidine (TZNG)"	52660	135018-15-4	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Sulfoxaflor	52767	946578-00-3	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Imidacloprid-olefin	52782	115086-54-9	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Thiamethoxam NOA-407475	53576	--	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
5-hydroxy-imidacloprid	54344	380912-09-4	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Benzobicyclon	54350	156963-66-5	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Cyclaniliprole	54355	1031756-98-5	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Chlorpyrifos	65072	2921-88-2	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Cycloate	65073	1134-23-2	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Deltamethrin	65077	52918-63-5	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Fenpropathrin	65083	39515-41-8	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Methyl parathion	65089	298-00-0	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Oxyfluorfen	65093	42874-03-3	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Pendimethalin	65098	40487-42-1	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Permethrin	65099	52645-53-1	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Simazine	65105	122-34-9	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
"3,4-Dichloroaniline"	66584	95-76-1	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Iprodione	66617	36734-19-7	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Pentachloroanisole	66637	1825-21-4	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Pentachloronitrobenzene	66639	82-68-8	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Propanil	66641	709-98-8	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Tetramethrin	66657	7696-12-0	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Boscalid	67550	188425-85-6	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Difenoconazole	67582	119446-68-3	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Fludioxonil	67640	131341-86-1	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Propyzamide	67706	23950-58-5	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Triadimefon	67741	43121-43-3	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Triadimenol	67746	55219-65-3	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Zoxamide	67768	156052-68-5	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
"1-(3,4-Dichlorophenyl) urea (DCPU)"	68226	2/8/2327	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
"1-(3,4-Dichlorophenyl)-3-methyl urea (DCPMU)"	68231	3567-62-2	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Bromoconazole	68315	116255-48-2	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Dinotefuran	68379	165252-70-0	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Acetochlor	68520	34256-82-1	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Bentazon	68538	25057-89-0	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Butralin	68545	33629-47-9	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
2-Chloro-6-ethylamino-4-amino-s-triazine (CEAT)	68550	1007-28-9	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
2-Chloro-4-isopropylamino-6-amino-s-triazine (CIAT)	68552	6190-65-4	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Desulfinylfipronil amide	68570	1115248-09-3	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Dichlorvos	68572	62-73-7	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Flubendiamide	68606	272451-65-7	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Indoxacarb	68627	173584-44-6	OCRL	Pesticide	LC/MS-MS	MDL	--	1	ng/L	"Gross and others, 2023"
Prodiamine	51844	29091-21-2	OCRL	Pesticide	LC/MS-MS	MDL	--	2	ng/L	"Gross and others, 2023"
Acibenzolar-S-methyl	51849	135158-54-2	OCRL	Pesticide	LC/MS-MS	MDL	--	2	ng/L	"Gross and others, 2023"
Fomesafen	52654	72178-02-0	OCRL	Pesticide	LC/MS-MS	MDL	--	2	ng/L	"Gross and others, 2023"
Chlorfenapyr	53567	122453-73-0	OCRL	Pesticide	LC/MS-MS	MDL	--	2	ng/L	"Gross and others, 2023"
"S-Ethyl-N,N-dipropylthiocarbamate (EPTC)"	65080	759-94-4	OCRL	Pesticide	LC/MS-MS	MDL	--	2	ng/L	"Gross and others, 2023"
Phenothrin	65100	26002-80-2	OCRL	Pesticide	LC/MS-MS	MDL	--	2	ng/L	"Gross and others, 2023"
Resmethrin	65104	10453-86-8	OCRL	Pesticide	LC/MS-MS	MDL	--	2	ng/L	"Gross and others, 2023"
Allethrin	66586	584-79-2	OCRL	Pesticide	LC/MS-MS	MDL	--	2	ng/L	"Gross and others, 2023"
Methoprene	66623	40596-69-8	OCRL	Pesticide	LC/MS-MS	MDL	--	2	ng/L	"Gross and others, 2023"
"3,5-Dichloroaniline"	67536	626-43-7	OCRL	Pesticide	LC/MS-MS	MDL	--	2	ng/L	"Gross and others, 2023"
Novaluron	68655	116714-46-6	OCRL	Pesticide	LC/MS-MS	MDL	--	2	ng/L	"Gross and others, 2023"
Oryzalin	68663	19044-88-3	OCRL	Pesticide	LC/MS-MS	MDL	--	2	ng/L	"Gross and others, 2023"
Triallate	68710	2303-17-5	OCRL	Pesticide	LC/MS-MS	MDL	--	2	ng/L	"Gross and others, 2023"
Chlorothalonil	65071	1897-45-6	OCRL	Pesticide	LC/MS-MS	MDL	--	5	ng/L	"Gross and others, 2023"
Famoxadone	67609	131807-57-3	OCRL	Pesticide	LC/MS-MS	MDL	--	10	ng/L	"Gross and others, 2023"
Fenhexamid	67622	126833-17-8	OCRL	Pesticide	LC/MS-MS	MDL	--	10	ng/L	"Gross and others, 2023"
Naled	68654	300-76-5	OCRL	Pesticide	LC/MS-MS	MDL	--	10	ng/L	"Gross and others, 2023"
"4,8-Dioxa-3H-perfluorononanoate (NaDONA, ADONA)"	54261	919005-14-4	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	1.9	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluoro-n-octanoate (PFOA)	54255	335-67-1	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	5.2	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluoro-n-nonanoate (PFNA)	54256	375-95-1	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	7.8	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluoro-1-butanesulfonate (PFBS)	54244	375-73-5	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	10.1	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluoro-1-decanesulfonate (PFDS)	54250	335-77-3	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	10.5	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluoro-1-hexanesulfonate (PFHxS)(linear)	54246	355-46-4	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	11.4	ng/L	"Kolpin and others, 2021, Supporting Information"
N-ethyl perfluorooctanesulfonamidoacetate (N-EtFOSAA linear)	54267	2991-50-6	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	12.2	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluoro-1-pentanesulfonate (PFPeS)	54245	2706-91-4	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	12.5	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluoro-n-pentanoate (PFPeA)	54252	2706-90-3	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	12.8	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluorooctanesulfonate (PFOS)(linear)	54248	1763-23-1	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	14.3	ng/L	"Kolpin and others, 2021, Supporting Information"
N-methylperfluorooctane sulfonamidoacetate (N-MeFOSAA linear)	54266	2355-31-9	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	15.4	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluoro-1-octanesulfonamide (FOSA)	54263	754-91-6	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	15.6	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluoro-n-tridecanoate (PFTrDA)	54271	72629-94-8	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	15.6	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluoro-1-nonanesulfonate (PFNS)	54249	68259-12-1	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	16.1	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluorobutyrate (PFBA)	54251	375-22-4	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	16.2	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluoro-n-undecanoate (PFUda)	54258	2058-94-8	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	16.2	ng/L	"Kolpin and others, 2021, Supporting Information"
11-Chloroeicosafluoro-3-oxaundecane-1-sulfonate (11Cl-PF3OUds)	54273	763051-92-9	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	16.4	ng/L	"Kolpin and others, 2021, Supporting Information"
"1H,1H,2H,2H-Perfluorohexane sulfonate (4:2) (4:2 FTS)"	54268	757124-72-4	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	17.5	ng/L	"Kolpin and others, 2021, Supporting Information"
Hexafluoropropylene oxide dimer acid (HFPO-DA)(GenX)	54260	13252-13-6	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	17.7	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluorododecanoate (PFDoDA)	54259	307-55-14	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	17.8	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluoro-1-heptanesulfonate (PFHpS)	54247	375-92-8	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	18.5	ng/L	"Kolpin and others, 2021, Supporting Information"
9-Chlorohexadecafluoro-3-oxanonane-1-sulfonate (9Cl-PF3ONS)	54262	756426-58-1	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	18.8	ng/L	"Kolpin and others, 2021, Supporting Information"
"1H,1H,2H,2H-Perfluorohexane sulfonate (8:2) (8:2 FTS)"	54270	39108-34-4	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	19.1	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluorooctanesulfonate (PFOS)(branched)	54280	1763-23-1	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	19.8	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluoro-n-decanoate (PFDA)	54257	83-89-6	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	20.6	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluoro-1-hexanesulfonate (PFHxS)(branched)	54278	355-46-4	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	22.8	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluoro-n-tetradecanoate (PFTeDA)	54272	376-06-7	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	24.7	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluoro-1-hexanesulfonamide (FHx-SA)	54265	41997-13-1	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	38.9	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluoro-n-hexanoate (PFHxA)	54253	307-24-4	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	39.8	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluoro-n-heptanoate (PFHpA)	54254	375-85-9	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	43.1	ng/L	"Kolpin and others, 2021, Supporting Information"
"1H,1H,2H,2H-Perfluorohexane sulfonate (6:2) (6:2 FTS)"	54269	27619-97-2	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	52.4	ng/L	"Kolpin and others, 2021, Supporting Information"
Perfluorobutane sulfonamide (FBSA)	54264	30334-69-1	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	101	ng/L	"Kolpin and others, 2021, Supporting Information"
N-Methylperfluorooctanesulfonamide (N-MeFOSA-M)	54274	31506-32-8	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	123	ng/L	"Kolpin and others, 2021, Supporting Information"
N-Ethylperfluorooctane-1-sulfonamide (N-EtFOSA-M)	54275	4151-50-2	NWQL	Per- and polyfluoroalkyl substance	LC/MS-MS	IRL	--	162	ng/L	"Kolpin and others, 2021, Supporting Information"
pH	400	--	Field personnel	Field measurement	Multi-parameter sonde	--	--	0.01	standard units	"USGS National field manual, variously dated"
Chromium	1034	7440-47-3	RCL	Trace element	GFAAS	LT-MDL	--	0.3	ug/L	"Ball and McCleskey, 2003"
Beryllium	998	7440-41-7	RCL	Trace element	ICP-OES	MDL	--	0.5	ug/L	"EPA, 2018"
Barium	1007	7440-39-3	RCL	Trace element	ICP-OES	MDL	--	0.5	ug/L	"EPA, 2018"
Strontium	1082	7440-24-6	RCL	Trace element	ICP-OES	MDL	--	0.5	ug/L	"EPA, 2018"
Lithium	1132	7439-93-2	RCL	Trace element	ICP-OES	MDL	--	0.5	ug/L	"EPA, 2018"
Vanadium	985	7440-62-2	RCL	Trace element	ICP-OES	MDL	--	1	ug/L	"EPA, 2018"
Copper	1042	7440-50-8	RCL	Trace element	ICP-OES	MDL	--	1	ug/L	"EPA, 2018"
Iron	1045	7439-89-6	RCL	Trace element	ICP-OES	MDL	--	1	ug/L	"EPA, 2018"
Manganese	1055	7439-96-5	RCL	Trace element	ICP-OES	MDL	--	1	ug/L	"EPA, 2018"
Zinc	1092	7440-66-6	RCL	Trace element	ICP-OES	MDL	--	1	ug/L	"EPA, 2018"
Cobalt	1037	7440-48-4	RCL	Trace element	ICP-OES	MDL	--	2	ug/L	"EPA, 2018"
Aluminum	1105	7429-90-5	RCL	Trace element	ICP-OES	MDL	--	2	ug/L	"EPA, 2018"
Cadmium	1113	7440-43-9	RCL	Trace element	ICP-OES	MDL	--	2	ug/L	"EPA, 2018"
Selenium	1147	7782-49-2	RCL	Trace element	GFAAS	MDL	--	2	ug/L	"EPA, 2018"
Nickel	1067	7440-02-0	RCL	Trace element	ICP-OES	MDL	--	3	ug/L	"EPA, 2018"
Molybdenum	1062	7439-98-7	RCL	Trace element	ICP-OES	MDL	--	4	ug/L	"EPA, 2018"
Boron	999	7440-42-8	RCL	Trace element	ICP-OES	MDL	--	5	ug/L	"EPA, 2018"
Antimony	1097	7440-36-0	RCL	Trace element	ICP-OES	MDL	--	30	ug/L	"EPA, 2018"
Phosphorus	52527	7723-14-0	RCL	Trace element	ICP-OES	MDL	--	40	ug/L	"EPA, 2018"
Glyphosate immunoassay	99960	1071-83-6	OCRL	Pesticide	ELISA	--	--	0.075	ug/L	"Gold Standard Diagnostics Horsham, Inc, 2020"
Lead	1051	7439-92-1	RCL	Trace element	GFAAS	MDL	--	0.4	ug/L	"Hergenreder, 2011"
Tribromomethane	34288	75-25-2	OCRL	Disinfection by-product	GC/MS	MDL	--	0.05	ug/L	"Hladik and others, 2014"
Dibromochloromethane	34307	124-48-1	OCRL	Disinfection by-product	GC/MS	MDL	--	0.05	ug/L	"Hladik and others, 2014"
Trichloromethane	34316	67-66-3	OCRL	Disinfection by-product	GC/MS	MDL	--	0.05	ug/L	"Hladik and others, 2014"
Bromodichloromethane	34328	75-27-4	OCRL	Disinfection by-product	GC/MS	MDL	--	0.05	ug/L	"Hladik and others, 2014"
Bromochloroiodomethane	51307	34970-00-8	OCRL	Disinfection by-product	GC/MS	MDL	--	0.05	ug/L	"Hladik and others, 2014"
Bromodiiodomethane	51308	557-95-9	OCRL	Disinfection by-product	GC/MS	MDL	--	0.05	ug/L	"Hladik and others, 2014"
Chlorodiiodomethane	51309	638-73-3	OCRL	Disinfection by-product	GC/MS	MDL	--	0.05	ug/L	"Hladik and others, 2014"
Dibromoiodomethane	51310	593-94-2	OCRL	Disinfection by-product	GC/MS	MDL	--	0.05	ug/L	"Hladik and others, 2014"
Dichloroiodomethane	51311	594-04-7	OCRL	Disinfection by-product	GC/MS	MDL	--	0.05	ug/L	"Hladik and others, 2014"
Triiodomethane	51312	75-47-8	OCRL	Disinfection by-product	GC/MS	MDL	--	0.1	ug/L	"Hladik and others, 2014"
Dichloronitromethane	51318	7119-89-3	OCRL	Disinfection by-product	GC/MS	MDL	--	0.1	ug/L	"Hladik and others, 2014"
Bromoacetonitrile	51320	590-17-0	OCRL	Disinfection by-product	GC/MS	MDL	--	0.1	ug/L	"Hladik and others, 2014"
Dichloroacetonitrile	51325	107-14-2	OCRL	Disinfection by-product	GC/MS	MDL	--	0.1	ug/L	"Hladik and others, 2014"
Trichloroacetonitrile	51327	545-06-2	OCRL	Disinfection by-product	GC/MS	MDL	--	0.1	ug/L	"Hladik and others, 2014"
Bromochloroacetonitrile	51321	83463-62-1	OCRL	Disinfection by-product	GC/MS	MDL	--	0.5	ug/L	"Hladik and others, 2014"
"1,1,1-Trichloro-2-propanone"	51330	918-00-3	OCRL	Disinfection by-product	GC/MS	MDL	--	0.5	ug/L	"Hladik and others, 2014"
"1,1-Dichloro-2-propanone"	80336	513-88-2	OCRL	Disinfection by-product	GC/MS	MDL	--	0.5	ug/L	"Hladik and others, 2014"
Chloropicrin	50319	76-06-2	OCRL	Disinfection by-product	GC/MS	MDL	--	1	ug/L	"Hladik and others, 2014"
Bromochloronitromethane	51313	135531-25-8	OCRL	Disinfection by-product	GC/MS	MDL	--	1	ug/L	"Hladik and others, 2014"
Bromonitromethane	51315	563-70-2	OCRL	Disinfection by-product	GC/MS	MDL	--	1	ug/L	"Hladik and others, 2014"
Tribromonitromethane	51319	464-10-8	OCRL	Disinfection by-product	GC/MS	MDL	--	1	ug/L	"Hladik and others, 2014"
Dibromoacetonitrile	51323	3252-43-5	OCRL	Disinfection by-product	GC/MS	MDL	--	1	ug/L	"Hladik and others, 2014"
Arsenic	978	7440-38-2	RCL	Trace element	GFAAS	MDL	--	1	ug/L	"McCleskey and others, 2003"
"1,2-Dichloropropane"	34541	78-87-5	NWQL	Volatile organic compound	GC/MS	RLDQC	0.002	0.004	ug/L	"Rose and others, 2016"
"1,2-Dibromoethane"	77651	106-93-4	NWQL	Volatile organic compound	GC/MS	RLDQC	0.002	0.004	ug/L	"Rose and others, 2016"
"1,2,3-Trichloropropane"	77443	96-18-4	NWQL	Volatile organic compound	GC/MS	RLDQC	0.003	0.006	ug/L	"Rose and others, 2016"
Isopropyl acetate	45013	108-21-4	NWQL	Volatile organic compound	GC/MS	RLDQC	0.005	0.01	ug/L	"Rose and others, 2016"
tert-Butyl methyl ether (MTBE)	78032	1634-04-4	NWQL	Volatile organic compound	GC/MS	RLDQC	0.006	0.012	ug/L	"Rose and others, 2016"
"1,2-Dibromo-3-chloropropane"	82625	96-12-8	NWQL	Volatile organic compound	GC/MS	RLDQC	0.01	0.02	ug/L	"Rose and others, 2016"
5-Methyl-2-hexanon	77179	110-12-3	NWQL	Volatile organic compound	GC/MS	RLDQC	0.011	0.022	ug/L	"Rose and others, 2016"
