USGS_station_number	Sample_date_(yyyymmdd)	Sample_time_(HHMM)	Medium_code	NWIS_parameter_code	Parameter_name	Remark_and_result	Units_of_measurement	Analyzing_laboratory	 
T453657107270401	20220810	1000	WS	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T452500108320026	20220808	1000	WT	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T453800107270022	20220810	1020	WG	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T451800107210006	20220809	1030	WG	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T451943107212513	20220809	1030	WS	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T453500107270024	20220810	1100	WT	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T451852107214501	20220809	1110	WT	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T451800107220007	20220809	1140	WG	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T453200107250023	20220810	1150	WG	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T451800107540001	20220808	1200	WG	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T451257107225201	20220810	1200	WS	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T452500107234008	20220809	1220	WG	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T453254107251316	20220809	1225	WS	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T453600107270018	20220810	1230	WT	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T452000107520002	20220808	1240	WG	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T452700107230017	20220809	1300	WG	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T452700107430003	20220808	1330	WG	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T453535107275515	20220809	1340	WS	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T450800107230004	20220809	0820	WG	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T454300107330012	20220810	0840	WG	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T453615107271309	20220810	0900	WS	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T450754107240301	20220809	0910	WT	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T452540108321601	20220808	0920	WT	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T453900107280021	20220810	0930	WG	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T451400107230005	20220809	0950	WG	34551	"1,2,4-Trichlorobenzene"	<0.080	ug/L	NWQL	
T453657107270401	20220810	1000	WS	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T452500108320026	20220808	1000	WT	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T453800107270022	20220810	1020	WG	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T451800107210006	20220809	1030	WG	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T451943107212513	20220809	1030	WS	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T453500107270024	20220810	1100	WT	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T451852107214501	20220809	1110	WT	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T451800107220007	20220809	1140	WG	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T453200107250023	20220810	1150	WG	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T451800107540001	20220808	1200	WG	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T451257107225201	20220810	1200	WS	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T452500107234008	20220809	1220	WG	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T453254107251316	20220809	1225	WS	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T453600107270018	20220810	1230	WT	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T452000107520002	20220808	1240	WG	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T452700107230017	20220809	1300	WG	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T452700107430003	20220808	1330	WG	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T453535107275515	20220809	1340	WS	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T453200107250011	20220810	0750	WG	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T450800107230004	20220809	0820	WG	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T454300107330012	20220810	0840	WG	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T453615107271309	20220810	0900	WS	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T450754107240301	20220809	0910	WT	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T452540108321601	20220808	0920	WT	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T453900107280021	20220810	0930	WG	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T451400107230005	20220809	0950	WG	34571	"1,4-Dichlorobenzene"	<0.026	ug/L	NWQL	
T453657107270401	20220810	1000	WS	34696	Naphthalene	<0.260	ug/L	NWQL	
T452500108320026	20220808	1000	WT	34696	Naphthalene	<0.260	ug/L	NWQL	
T453800107270022	20220810	1020	WG	34696	Naphthalene	<0.260	ug/L	NWQL	
T451800107210006	20220809	1030	WG	34696	Naphthalene	<0.260	ug/L	NWQL	
T451943107212513	20220809	1030	WS	34696	Naphthalene	<0.260	ug/L	NWQL	
T453500107270024	20220810	1100	WT	34696	Naphthalene	<0.260	ug/L	NWQL	
T451852107214501	20220809	1110	WT	34696	Naphthalene	<0.260	ug/L	NWQL	
T451800107220007	20220809	1140	WG	34696	Naphthalene	<0.260	ug/L	NWQL	
T453200107250023	20220810	1150	WG	34696	Naphthalene	<0.260	ug/L	NWQL	
T451800107540001	20220808	1200	WG	34696	Naphthalene	<0.260	ug/L	NWQL	
T451257107225201	20220810	1200	WS	34696	Naphthalene	<0.260	ug/L	NWQL	
T452500107234008	20220809	1220	WG	34696	Naphthalene	<0.260	ug/L	NWQL	
T453254107251316	20220809	1225	WS	34696	Naphthalene	<0.260	ug/L	NWQL	
T453600107270018	20220810	1230	WT	34696	Naphthalene	<0.260	ug/L	NWQL	
T452000107520002	20220808	1240	WG	34696	Naphthalene	<0.260	ug/L	NWQL	
T452700107230017	20220809	1300	WG	34696	Naphthalene	<0.260	ug/L	NWQL	
T452700107430003	20220808	1330	WG	34696	Naphthalene	<0.260	ug/L	NWQL	
T453535107275515	20220809	1340	WS	34696	Naphthalene	<0.260	ug/L	NWQL	
T453200107250011	20220810	0750	WG	34696	Naphthalene	<0.260	ug/L	NWQL	
T450800107230004	20220809	0820	WG	34696	Naphthalene	<0.260	ug/L	NWQL	
T454300107330012	20220810	0840	WG	34696	Naphthalene	<0.260	ug/L	NWQL	
T453615107271309	20220810	0900	WS	34696	Naphthalene	<0.260	ug/L	NWQL	
T450754107240301	20220809	0910	WT	34696	Naphthalene	<0.260	ug/L	NWQL	
T452540108321601	20220808	0920	WT	34696	Naphthalene	<0.260	ug/L	NWQL	
T453900107280021	20220810	0930	WG	34696	Naphthalene	<0.260	ug/L	NWQL	
T451400107230005	20220809	0950	WG	34696	Naphthalene	<0.260	ug/L	NWQL	
T453657107270401	20220810	1000	WS	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T452500108320026	20220808	1000	WT	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453800107270022	20220810	1020	WG	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T451800107210006	20220809	1030	WG	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T451943107212513	20220809	1030	WS	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453500107270024	20220810	1100	WT	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T451852107214501	20220809	1110	WT	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T451800107220007	20220809	1140	WG	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453200107250023	20220810	1150	WG	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T451800107540001	20220808	1200	WG	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T451257107225201	20220810	1200	WS	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T452500107234008	20220809	1220	WG	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453254107251316	20220809	1225	WS	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453600107270018	20220810	1230	WT	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T452000107520002	20220808	1240	WG	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T452700107230017	20220809	1300	WG	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T452700107430003	20220808	1330	WG	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453535107275515	20220809	1340	WS	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453200107250011	20220810	0750	WG	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T450800107230004	20220809	0820	WG	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T454300107330012	20220810	0840	WG	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453615107271309	20220810	0900	WS	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T450754107240301	20220809	0910	WT	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T452540108321601	20220808	0920	WT	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453900107280021	20220810	0930	WG	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T451400107230005	20220809	0950	WG	34699	"trans-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453657107270401	20220810	1000	WS	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T452500108320026	20220808	1000	WT	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453800107270022	20220810	1020	WG	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T451800107210006	20220809	1030	WG	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T451943107212513	20220809	1030	WS	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453500107270024	20220810	1100	WT	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T451852107214501	20220809	1110	WT	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T451800107220007	20220809	1140	WG	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453200107250023	20220810	1150	WG	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T451800107540001	20220808	1200	WG	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T451257107225201	20220810	1200	WS	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T452500107234008	20220809	1220	WG	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453254107251316	20220809	1225	WS	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453600107270018	20220810	1230	WT	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T452000107520002	20220808	1240	WG	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T452700107230017	20220809	1300	WG	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T452700107430003	20220808	1330	WG	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453535107275515	20220809	1340	WS	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453200107250011	20220810	0750	WG	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T450800107230004	20220809	0820	WG	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T454300107330012	20220810	0840	WG	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453615107271309	20220810	0900	WS	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T450754107240301	20220809	0910	WT	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T452540108321601	20220808	0920	WT	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453900107280021	20220810	0930	WG	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T451400107230005	20220809	0950	WG	34704	"cis-1,3-Dichloropropene"	<0.100	ug/L	NWQL	
T453657107270401	20220810	1000	WS	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T452500108320026	20220808	1000	WT	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T453800107270022	20220810	1020	WG	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T451800107210006	20220809	1030	WG	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T451943107212513	20220809	1030	WS	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T453500107270024	20220810	1100	WT	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T451852107214501	20220809	1110	WT	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T451800107220007	20220809	1140	WG	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T453200107250023	20220810	1150	WG	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T451800107540001	20220808	1200	WG	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T451257107225201	20220810	1200	WS	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T452500107234008	20220809	1220	WG	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T453254107251316	20220809	1225	WS	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T453600107270018	20220810	1230	WT	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T452000107520002	20220808	1240	WG	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T452700107230017	20220809	1300	WG	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T452700107430003	20220808	1330	WG	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T453535107275515	20220809	1340	WS	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T453200107250011	20220810	0750	WG	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T450800107230004	20220809	0820	WG	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T454300107330012	20220810	0840	WG	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T453615107271309	20220810	0900	WS	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T450754107240301	20220809	0910	WT	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T452540108321601	20220808	0920	WT	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T453900107280021	20220810	0930	WG	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T451400107230005	20220809	0950	WG	39175	Vinyl chloride	<0.060	ug/L	NWQL	
T453657107270401	20220810	1000	WS	39180	Trichloroethene	<0.025	ug/L	NWQL	
T452500108320026	20220808	1000	WT	39180	Trichloroethene	<0.025	ug/L	NWQL	
T453800107270022	20220810	1020	WG	39180	Trichloroethene	<0.025	ug/L	NWQL	
T451800107210006	20220809	1030	WG	39180	Trichloroethene	<0.025	ug/L	NWQL	
T451943107212513	20220809	1030	WS	39180	Trichloroethene	<0.025	ug/L	NWQL	
T453500107270024	20220810	1100	WT	39180	Trichloroethene	<0.025	ug/L	NWQL	
T451852107214501	20220809	1110	WT	39180	Trichloroethene	<0.025	ug/L	NWQL	
T451800107220007	20220809	1140	WG	39180	Trichloroethene	<0.025	ug/L	NWQL	
T453200107250023	20220810	1150	WG	39180	Trichloroethene	<0.025	ug/L	NWQL	
T451800107540001	20220808	1200	WG	39180	Trichloroethene	<0.025	ug/L	NWQL	
T451257107225201	20220810	1200	WS	39180	Trichloroethene	<0.025	ug/L	NWQL	
T452500107234008	20220809	1220	WG	39180	Trichloroethene	<0.025	ug/L	NWQL	
T453254107251316	20220809	1225	WS	39180	Trichloroethene	<0.025	ug/L	NWQL	
T453600107270018	20220810	1230	WT	39180	Trichloroethene	<0.025	ug/L	NWQL	
T452000107520002	20220808	1240	WG	39180	Trichloroethene	<0.025	ug/L	NWQL	
T452700107230017	20220809	1300	WG	39180	Trichloroethene	<0.025	ug/L	NWQL	
T452700107430003	20220808	1330	WG	39180	Trichloroethene	<0.025	ug/L	NWQL	
T453535107275515	20220809	1340	WS	39180	Trichloroethene	<0.025	ug/L	NWQL	
T453200107250011	20220810	0750	WG	39180	Trichloroethene	<0.025	ug/L	NWQL	
T450800107230004	20220809	0820	WG	39180	Trichloroethene	<0.025	ug/L	NWQL	
T454300107330012	20220810	0840	WG	39180	Trichloroethene	<0.025	ug/L	NWQL	
T453615107271309	20220810	0900	WS	39180	Trichloroethene	<0.025	ug/L	NWQL	
T450754107240301	20220809	0910	WT	39180	Trichloroethene	<0.025	ug/L	NWQL	
T452540108321601	20220808	0920	WT	39180	Trichloroethene	<0.025	ug/L	NWQL	
T453900107280021	20220810	0930	WG	39180	Trichloroethene	<0.025	ug/L	NWQL	
T451400107230005	20220809	0950	WG	39180	Trichloroethene	<0.025	ug/L	NWQL	
T453657107270401	20220810	1000	WS	0400	pH	8.1	standard units	Field personnel	
T452500108320026	20220808	1000	WT	0400	pH	7.2	standard units	Field personnel	
T453800107270022	20220810	1020	WG	0400	pH	7.6	standard units	Field personnel	
T451800107210006	20220809	1030	WG	0400	pH	8.3	standard units	Field personnel	
T451943107212513	20220809	1030	WS	0400	pH	8	standard units	Field personnel	
T453500107270024	20220810	1100	WT	0400	pH	8	standard units	Field personnel	
T451852107214501	20220809	1110	WT	0400	pH	7.9	standard units	Field personnel	
T451800107220007	20220809	1140	WG	0400	pH	8.5	standard units	Field personnel	
T453200107250023	20220810	1150	WG	0400	pH	8.7	standard units	Field personnel	
T451800107540001	20220808	1200	WG	0400	pH	7.6	standard units	Field personnel	
T451257107225201	20220810	1200	WS	0400	pH	8.1	standard units	Field personnel	
T452500107234008	20220809	1220	WG	0400	pH	8.5	standard units	Field personnel	
T453254107251316	20220809	1225	WS	0400	pH	8.1	standard units	Field personnel	
T453600107270018	20220810	1230	WT	0400	pH	8.3	standard units	Field personnel	
T452000107520002	20220808	1240	WG	0400	pH	7.4	standard units	Field personnel	
T452700107230017	20220809	1300	WG	0400	pH	7.2	standard units	Field personnel	
T452700107430003	20220808	1330	WG	0400	pH	7.4	standard units	Field personnel	
T453535107275515	20220809	1340	WS	0400	pH	8.1	standard units	Field personnel	
T453200107250011	20220810	0750	WG	0400	pH	8.8	standard units	Field personnel	
T450800107230004	20220809	0820	WG	0400	pH	7	standard units	Field personnel	
T454300107330012	20220810	0840	WG	0400	pH	7.4	standard units	Field personnel	
T453615107271309	20220810	0900	WS	0400	pH	7.9	standard units	Field personnel	
T450754107240301	20220809	0910	WT	0400	pH	7.4	standard units	Field personnel	
T452540108321601	20220808	0920	WT	0400	pH	7	standard units	Field personnel	
T453900107280021	20220810	0930	WG	0400	pH	7.1	standard units	Field personnel	
T451257107225201	20220809	0930	WS	0400	pH	7.8	standard units	Field personnel	
T451400107230005	20220809	0950	WG	0400	pH	7.4	standard units	Field personnel	
T453657107270401	20220810	1000	WS	0421	Alkalinity	188	mg/L as CaCO3	RCL	
T452500108320026	20220808	1000	WT	0421	Alkalinity	261	mg/L as CaCO3	RCL	
T453800107270022	20220810	1020	WG	0421	Alkalinity	294	mg/L as CaCO3	RCL	
T451800107210006	20220809	1030	WG	0421	Alkalinity	558	mg/L as CaCO3	RCL	
T451943107212513	20220809	1030	WS	0421	Alkalinity	194	mg/L as CaCO3	RCL	
T453500107270024	20220810	1100	WT	0421	Alkalinity	180	mg/L as CaCO3	RCL	
T451852107214501	20220809	1110	WT	0421	Alkalinity	474	mg/L as CaCO3	RCL	
T451800107220007	20220809	1140	WG	0421	Alkalinity	428	mg/L as CaCO3	RCL	
T453200107250023	20220810	1150	WG	0421	Alkalinity	413	mg/L as CaCO3	RCL	
T451800107540001	20220808	1200	WG	0421	Alkalinity	340	mg/L as CaCO3	RCL	
T451257107225201	20220810	1200	WS	0421	Alkalinity	201	mg/L as CaCO3	RCL	
T452500107234008	20220809	1220	WG	0421	Alkalinity	265	mg/L as CaCO3	RCL	
T453254107251316	20220809	1225	WS	0421	Alkalinity	187	mg/L as CaCO3	RCL	
T453600107270018	20220810	1230	WT	0421	Alkalinity	180	mg/L as CaCO3	RCL	
T452000107520002	20220808	1240	WG	0421	Alkalinity	341	mg/L as CaCO3	RCL	
T452700107230017	20220809	1300	WG	0421	Alkalinity	434	mg/L as CaCO3	RCL	
T452700107430003	20220808	1330	WG	0421	Alkalinity	422	mg/L as CaCO3	RCL	
T453535107275515	20220809	1340	WS	0421	Alkalinity	191	mg/L as CaCO3	RCL	
T453200107250011	20220810	0750	WG	0421	Alkalinity	395	mg/L as CaCO3	RCL	
T450800107230004	20220809	0820	WG	0421	Alkalinity	418	mg/L as CaCO3	RCL	
T454300107330012	20220810	0840	WG	0421	Alkalinity	225	mg/L as CaCO3	RCL	
T453615107271309	20220810	0900	WS	0421	Alkalinity	185	mg/L as CaCO3	RCL	
T450754107240301	20220809	0910	WT	0421	Alkalinity	205	mg/L as CaCO3	RCL	
T452540108321601	20220808	0920	WT	0421	Alkalinity	212	mg/L as CaCO3	RCL	
T453900107280021	20220810	0930	WG	0421	Alkalinity	459	mg/L as CaCO3	RCL	
T451400107230005	20220809	0950	WG	0421	Alkalinity	468	mg/L as CaCO3	RCL	
T453657107270401	20220810	1000	WS	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T452500108320026	20220808	1000	WT	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T453800107270022	20220810	1020	WG	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T451800107210006	20220809	1030	WG	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T451943107212513	20220809	1030	WS	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T453500107270024	20220810	1100	WT	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T451852107214501	20220809	1110	WT	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T451800107220007	20220809	1140	WG	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T453200107250023	20220810	1150	WG	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T451800107540001	20220808	1200	WG	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T451257107225201	20220810	1200	WS	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T452500107234008	20220809	1220	WG	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T453254107251316	20220809	1225	WS	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T453600107270018	20220810	1230	WT	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T452000107520002	20220808	1240	WG	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T452700107230017	20220809	1300	WG	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T452700107430003	20220808	1330	WG	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T453535107275515	20220809	1340	WS	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T453200107250011	20220810	0750	WG	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T450800107230004	20220809	0820	WG	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T454300107330012	20220810	0840	WG	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T453615107271309	20220810	0900	WS	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T450754107240301	20220809	0910	WT	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T452540108321601	20220808	0920	WT	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T453900107280021	20220810	0930	WG	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T451400107230005	20220809	0950	WG	45013	Isopropyl acetate	<0.010	ug/L	NWQL	
T453657107270401	20220810	1000	WS	45022	Propyl acetate	<0.032	ug/L	NWQL	
T452500108320026	20220808	1000	WT	45022	Propyl acetate	<0.032	ug/L	NWQL	
T453800107270022	20220810	1020	WG	45022	Propyl acetate	<0.032	ug/L	NWQL	
T451800107210006	20220809	1030	WG	45022	Propyl acetate	<0.032	ug/L	NWQL	
T451943107212513	20220809	1030	WS	45022	Propyl acetate	<0.032	ug/L	NWQL	
T453500107270024	20220810	1100	WT	45022	Propyl acetate	<0.032	ug/L	NWQL	
T451852107214501	20220809	1110	WT	45022	Propyl acetate	<0.032	ug/L	NWQL	
T451800107220007	20220809	1140	WG	45022	Propyl acetate	<0.032	ug/L	NWQL	
T453200107250023	20220810	1150	WG	45022	Propyl acetate	<0.032	ug/L	NWQL	
T451800107540001	20220808	1200	WG	45022	Propyl acetate	<0.032	ug/L	NWQL	
T451257107225201	20220810	1200	WS	45022	Propyl acetate	<0.032	ug/L	NWQL	
T452500107234008	20220809	1220	WG	45022	Propyl acetate	<0.032	ug/L	NWQL	
T453254107251316	20220809	1225	WS	45022	Propyl acetate	<0.032	ug/L	NWQL	
T453600107270018	20220810	1230	WT	45022	Propyl acetate	<0.032	ug/L	NWQL	
T452000107520002	20220808	1240	WG	45022	Propyl acetate	<0.032	ug/L	NWQL	
T452700107230017	20220809	1300	WG	45022	Propyl acetate	<0.032	ug/L	NWQL	
T452700107430003	20220808	1330	WG	45022	Propyl acetate	<0.032	ug/L	NWQL	
T453535107275515	20220809	1340	WS	45022	Propyl acetate	<0.032	ug/L	NWQL	
T453200107250011	20220810	0750	WG	45022	Propyl acetate	<0.032	ug/L	NWQL	
T450800107230004	20220809	0820	WG	45022	Propyl acetate	<0.032	ug/L	NWQL	
T454300107330012	20220810	0840	WG	45022	Propyl acetate	<0.032	ug/L	NWQL	
T453615107271309	20220810	0900	WS	45022	Propyl acetate	<0.032	ug/L	NWQL	
T450754107240301	20220809	0910	WT	45022	Propyl acetate	<0.032	ug/L	NWQL	
T452540108321601	20220808	0920	WT	45022	Propyl acetate	<0.032	ug/L	NWQL	
T453900107280021	20220810	0930	WG	45022	Propyl acetate	<0.032	ug/L	NWQL	
T451400107230005	20220809	0950	WG	45022	Propyl acetate	<0.032	ug/L	NWQL	
T453657107270401	20220810	1000	WS	45028	HCFC-22	<0.040	ug/L	NWQL	
T452500108320026	20220808	1000	WT	45028	HCFC-22	<0.040	ug/L	NWQL	
T453800107270022	20220810	1020	WG	45028	HCFC-22	<0.040	ug/L	NWQL	
T451800107210006	20220809	1030	WG	45028	HCFC-22	<0.040	ug/L	NWQL	
T451943107212513	20220809	1030	WS	45028	HCFC-22	<0.040	ug/L	NWQL	
T453500107270024	20220810	1100	WT	45028	HCFC-22	<0.040	ug/L	NWQL	
T451852107214501	20220809	1110	WT	45028	HCFC-22	<0.040	ug/L	NWQL	
T451800107220007	20220809	1140	WG	45028	HCFC-22	<0.040	ug/L	NWQL	
T453200107250023	20220810	1150	WG	45028	HCFC-22	<0.040	ug/L	NWQL	
T451800107540001	20220808	1200	WG	45028	HCFC-22	<0.040	ug/L	NWQL	
T451257107225201	20220810	1200	WS	45028	HCFC-22	<0.040	ug/L	NWQL	
